time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/entropy_loss,train/policy_loss,train/explained_variance,train/value_loss,train/n_updates,train/std,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate
440,1,672,28,-793.2559204101562,903173.9375,1.3709068298339844e-06,2024800.0,27,0.9977309107780457,25.0,3152.730769230769,0.0007
457,1,696,29,-793.2782592773438,888812.8125,2.199411392211914e-05,2445215.75,28,0.9977449774742126,25.0,3162.222222222222,0.0007
471,1,720,30,-793.2852172851562,1300665.0,0.0,3896743.25,29,0.9976859092712402,25.0,3177.3928571428573,0.0007
488,1,744,31,-793.2516479492188,772497.4375,3.6954879760742188e-06,1726002.125,30,0.9976452589035034,25.0,3184.8275862068967,0.0007
503,1,768,32,-793.2285766601562,793174.6875,4.172325134277344e-07,1844141.0,31,0.9976124167442322,25.0,3207.733333333333,0.0007
524,1,792,33,-793.2109985351562,1015654.5,0.0,2410687.25,32,0.9975836873054504,25.0,3227.3548387096776,0.0007
542,1,816,34,-793.1943969726562,767146.6875,2.5451183319091797e-05,1890874.0,33,0.9975486993789673,25.0,3224.5,0.0007
554,1,840,35,-793.1738891601562,672731.125,3.439188003540039e-05,1318117.75,34,0.9974507093429565,25.0,3221.3939393939395,0.0007
568,1,864,36,-793.1181640625,671934.9375,1.1920928955078125e-07,974315.1875,35,0.9974780678749084,25.0,3223.6176470588234,0.0007
582,1,888,37,-793.1333618164062,661639.8125,4.410743713378906e-06,822755.1875,36,0.997447669506073,25.0,3199.942857142857,0.0007
594,1,912,38,-793.115966796875,869537.25,0.0,1679728.625,37,0.9973820447921753,25.0,3205.777777777778,0.0007
606,1,936,39,-793.0786743164062,387396.03125,0.0001380443572998047,274048.59375,38,0.9974430799484253,25.0,3168.189189189189,0.0007
622,1,960,40,-793.1127319335938,542161.3125,0.0,739844.6875,39,0.9974437355995178,25.0,3174.815789473684,0.0007
640,1,984,41,-793.1127319335938,858171.0,0.0,1484364.875,40,0.997492790222168,25.0,3175.846153846154,0.0007
657,1,1008,42,-793.1403198242188,575680.75,1.1920928955078125e-07,873124.3125,41,0.997451663017273,25.0,3188.125,0.0007
667,1,1032,43,-793.116455078125,168030.8125,1.049041748046875e-05,165969.390625,42,0.9974492788314819,25.0,3130.8048780487807,0.0007
681,1,1056,44,-793.1151733398438,321053.15625,2.384185791015625e-07,273321.34375,43,0.9973870515823364,25.0,3141.214285714286,0.0007
690,1,1080,45,-793.0794067382812,667223.75,1.055002212524414e-05,1108221.625,44,0.9973329901695251,25.0,3109.2093023255816,0.0007
698,1,1104,46,-793.0494995117188,406634.15625,0.0,408345.09375,45,0.9972798228263855,25.0,3058.2272727272725,0.0007
715,1,1128,47,-793.0188598632812,244801.609375,0.0,125959.8125,46,0.9972707629203796,25.0,3075.3555555555554,0.0007
732,1,1152,48,-793.0131225585938,978632.25,3.4570693969726562e-06,2530919.75,47,0.9972487092018127,25.0,3075.413043478261,0.0007
749,1,1176,49,-793.0005493164062,600861.0625,6.67572021484375e-06,1255771.125,48,0.9973084330558777,25.0,3089.8297872340427,0.0007
766,1,1200,50,-793.033447265625,1313682.125,1.7285346984863281e-06,3629512.0,49,0.9973457455635071,25.0,3098.2708333333335,0.0007
787,1,1224,51,-793.053955078125,1046743.9375,0.0,2442474.75,50,0.9973677396774292,25.0,3098.2708333333335,0.0007
803,1,1248,52,-793.06640625,986933.5625,0.0,2954102.0,51,0.9973507523536682,25.0,3106.326530612245,0.0007
819,1,1272,53,-793.0567016601562,1104636.375,1.7881393432617188e-07,2746388.25,52,0.9973457455635071,25.0,3115.64,0.0007
837,1,1296,54,-793.053955078125,736264.25,7.271766662597656e-06,1799697.0,53,0.9973117113113403,25.0,3124.3529411764707,0.0007
847,1,1320,55,-793.0346069335938,687677.3125,8.940696716308594e-07,1716072.625,54,0.9972435235977173,25.0,3120.480769230769,0.0007
861,1,1344,56,-792.99609375,596855.8125,0.0,863419.4375,55,0.997235894203186,25.0,3102.9811320754716,0.0007
875,1,1368,57,-792.9918823242188,907504.75,0.0,1908614.875,56,0.997255802154541,25.0,3109.703703703704,0.0007
889,1,1392,58,-793.003173828125,735478.9375,1.1920928955078125e-07,1438305.0,57,0.9972224831581116,25.0,3118.5636363636363,0.0007
