,index_left,station,geometry
99,2439.0,7109,POINT (-8835383.011187844 5412788.092832312)
100,2500.0,7110,POINT (-8834964.153050484 5412249.686229251)
101,1752.0,7111,POINT (-8840590.870925624 5410035.458870651)
102,1689.0,7112,POINT (-8841455.489410615 5409588.763954887)
103,2441.0,7114,POINT (-8835197.552916182 5413672.426682355)
104,2319.0,7115,POINT (-8836136.755460003 5414708.760716582)
105,2444.0,7117,POINT (-8835096.21031928 5415236.733053555)
106,2250.0,7118,POINT (-8836545.854588669 5411218.443301908)
107,2503.0,7119,POINT (-8834593.755998118 5413879.096334935)
108,2565.0,7120,POINT (-8834151.594980689 5413590.714193448)
109,2377.0,7121,POINT (-8835957.419760335 5412555.598020449)
110,1938.0,7122,POINT (-8839262.272803007 5410112.98663328)
111,2063.0,7123,POINT (-8838394.537372274 5410489.0978078)
112,2688.0,7124,POINT (-8833324.491164094 5413340.195285953)
113,2195.0,7126,POINT (-8837407.022169447 5414814.322774182)
114,2133.0,7127,POINT (-8837674.411586331 5414846.334833518)
115,2134.0,7128,POINT (-8837527.247219503 5415360.389827981)
116,2072.0,7129,POINT (-8838352.681243734 5415283.279754871)
117,2010.0,7130,POINT (-8838581.776755787 5415199.398270672)
118,2009.0,7131,POINT (-8838594.244538756 5414493.592688567)
119,1947.0,7132,POINT (-8839344.315267721 5414564.078480025)
120,2136.0,7133,POINT (-8837716.267714871 5416353.4896638)
121,1751.0,7135,POINT (-8840961.7540731 5409653.351874243)
122,1504.0,7136,POINT (-8842757.370855443 5409996.84905686)
123,1763.0,7137,POINT (-8840561.037302092 5415541.239331367)
124,1700.0,7138,POINT (-8841426.880301483 5415327.452512399)
125,1949.0,7139,POINT (-8839386.06007677 5415712.241565871)
126,1886.0,7140,POINT (-8839544.57903166 5415406.40991889)
127,1886.0,7141,POINT (-8839911.710712295 5415370.240262935)
128,1824.0,7142,POINT (-8840406.414529381 5415199.0904501155)
129,1885.0,7143,POINT (-8839693.41319085 5414747.990446664)
130,1761.0,7144,POINT (-8840591.984120531 5414728.906524204)
131,1640.0,7146,POINT (-8841550.556255754 5416054.255533816)
132,1627.0,7147,POINT (-8841581.478336528 5409813.862268614)
133,1689.0,7148,POINT (-8841395.933483042 5409813.800740377)
134,1699.0,7149,POINT (-8841086.725044115 5414515.138506606)
135,1508.0,7150,POINT (-8842509.140759807 5412292.428953978)
136,1698.0,7151,POINT (-8841024.880882563 5414301.390825606)
137,1634.0,7152,POINT (-8841632.264761997 5413238.635502001)
138,1759.0,7153,POINT (-8840870.270478684 5413574.694937142)
139,1822.0,7154,POINT (-8840066.29637851 5414002.161614822)
140,1883.0,7155,POINT (-8839935.421763832 5413562.24579364)
141,1572.0,7156,POINT (-8842292.686194375 5413104.501359018)
142,1510.0,7157,POINT (-8842756.517406013 5413104.506488199)
143,1814.0,7158,POINT (-8840004.452216959 5410241.154987829)
144,1938.0,7160,POINT (-8839386.01060144 5410412.079658411)
145,2067.0,7161,POINT (-8838241.893612731 5412591.602790446)
146,2191.0,7162,POINT (-8837159.62078558 5412848.051080001)
147,2254.0,7163,POINT (-8836819.477897039 5413318.221347138)
148,2253.0,7164,POINT (-8836654.613731174 5412579.908918138)
149,2376.0,7167,POINT (-8835551.672585227 5412121.459241453)
150,2310.0,7168,POINT (-8836018.868119255 5410152.519889598)
151,2311.0,7169,POINT (-8836420.063564073 5410847.2252508495)
152,2006.0,7170,POINT (-8838922.1793898 5413232.741991237)
153,1873.0,7171,POINT (-8839970.988341141 5408706.435733217)
154,1874.0,7172,POINT (-8839757.075570751 5409130.247310254)
155,1202.0,7173,POINT (-8845261.205948863 5414002.156998111)
156,1261.0,7174,POINT (-8844519.07601024 5412420.642928184)
157,2185.0,7175,POINT (-8837376.297989987 5409585.533801683)
158,1999.0,7176,POINT (-8838722.48459215 5409773.0383735495)
159,1261.0,7178,POINT (-8844618.410102526 5412544.211925807)
160,1385.0,7180,POINT (-8843560.318342537 5412787.53889993)
161,1446.0,7181,POINT (-8843374.959021533 5412035.989247776)
162,1383.0,7182,POINT (-8843560.491506193 5411565.880806532)
163,1445.0,7183,POINT (-8843073.406889806 5411628.138884973)
164,1694.0,7184,POINT (-8841287.174340537 5412128.706003615)
